"Date","Price","Open","High","Low","Vol.","Change %"
"06/25/2021","47,494","47,593","47,924","47,428","2.15M","-0.21%"
"06/24/2021","47,593","47,560","48,254","47,527","1.18M","0.00%"
"06/23/2021","47,593","47,990","48,089","47,593","1.33M","-1.37%"
"06/22/2021","48,254","48,254","48,320","46,106","2.21M","0.14%"
"06/21/2021","48,188","46,469","48,221","46,469","3.54M","3.40%"
"06/18/2021","46,602","46,436","46,767","46,271","1.15M","1.44%"
"06/17/2021","45,941","45,114","47,560","44,949","3.85M","1.46%"
"06/16/2021","45,280","45,544","45,544","45,114","1.50M","-0.65%"
"06/15/2021","45,577","45,643","45,941","45,445","1.31M","-0.14%"
"06/14/2021","45,643","45,610","45,875","45,214","2.22M","0.80%"
"06/11/2021","45,280","44,685","45,280","44,652","2.49M","1.26%"
"06/10/2021","44,718","44,619","45,280","44,619","2.04M","-0.81%"
"06/09/2021","45,081","44,949","45,445","44,619","2.22M","0.29%"
"06/08/2021","44,949","44,949","45,610","44,850","2.15M","-0.07%"
"06/07/2021","44,982","45,445","45,478","44,718","2.05M","-1.02%"
"06/04/2021","45,445","45,941","45,941","45,280","1.85M","-1.08%"
"06/03/2021","45,941","46,205","46,205","45,280","1.78M","0.14%"
"06/02/2021","45,875","44,949","46,271","44,916","1.74M","1.69%"
"06/01/2021","45,114","45,445","45,610","44,619","3.22M","-1.44%"
"05/31/2021","45,775","46,271","46,767","45,775","3.81M","-2.94%"
"05/28/2021","47,164","47,064","47,329","46,800","2.23M","0.21%"
"05/27/2021","47,064","47,891","47,924","46,932","2.54M","-1.73%"
"05/26/2021","47,891","48,254","48,320","47,758","2.35M","-0.75%"
"05/25/2021","48,254","48,254","48,419","47,924","2.37M","0.00%"
"05/24/2021","48,254","47,924","48,419","47,626","1.62M","0.41%"
"05/21/2021","48,056","48,552","48,915","47,924","2.94M","-3.07%"
"05/20/2021","49,576","46,503","49,576","46,503","4.23M","5.86%"
"05/19/2021","46,833","46,602","46,932","46,436","1.80M","0.00%"
"05/18/2021","46,833","46,767","46,932","46,503","1.78M","0.14%"
"05/17/2021","46,767","47,428","47,593","46,569","1.61M","-0.70%"
"05/14/2021","47,097","46,436","47,428","46,337","2.46M","1.79%"
